URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
100018,202,2436,State-funded primary,388,180,208,46.39%,53.61%,42,10.82%,144,37.11%,240,148,0,61.90%,38.10%,0,220,202,333,60.66%
100019,202,2438,State-funded primary,320,170,150,53.13%,46.88%,7,2.19%,31,9.69%,227,93,0,70.90%,29.10%,0,59,55,296,18.58%
100020,202,2475,State-funded primary,429,210,219,48.95%,51.05%,39,9.09%,68,15.85%,227,202,0,52.90%,47.10%,0,163,147,371,39.62%
100021,202,2502,State-funded primary,392,203,189,51.79%,48.21%,19,4.85%,116,29.59%,294,98,0,75.00%,25.00%,0,248,230,336,68.45%
100022,202,2507,State-funded primary,379,179,200,47.23%,52.77%,9,2.37%,89,23.48%,342,37,0,90.20%,9.80%,0,227,217,352,61.65%
100023,202,2603,State-funded primary,445,225,220,50.56%,49.44%,26,5.84%,71,15.96%,199,245,1,44.70%,55.10%,0.002,183,175,410,42.68%
100025,202,2775,State-funded primary,424,195,229,45.99%,54.01%,12,2.83%,97,22.88%,174,247,3,41.00%,58.30%,0.007,154,146,392,37.24%
100026,202,2797,State-funded primary,230,119,111,51.74%,48.26%,8,3.48%,17,7.39%,136,94,0,59.10%,40.90%,0,30,31,204,15.20%
100027,202,2841,State-funded primary,237,112,125,47.26%,52.74%,9,3.80%,56,23.63%,101,136,0,42.60%,57.40%,0,49,43,211,20.38%
100028,202,3323,State-funded primary,191,94,97,49.21%,50.79%,1,0.52%,16,8.38%,106,85,0,55.50%,44.50%,0,7,7,191,3.66%
100029,202,3327,State-funded primary,173,82,91,47.40%,52.60%,8,4.62%,29,16.76%,96,77,0,55.50%,44.50%,0,84,80,158,50.63%
100030,202,3340,State-funded primary,231,110,121,47.62%,52.38%,8,3.46%,17,7.36%,82,149,0,35.50%,64.50%,0,34,34,206,16.50%
100031,202,3352,State-funded primary,199,103,96,51.76%,48.24%,3,1.51%,19,9.55%,108,91,0,54.30%,45.70%,0,19,19,199,9.55%
100032,202,3359,State-funded primary,171,86,85,50.29%,49.71%,6,3.51%,26,15.20%,84,87,0,49.10%,50.90%,0,91,92,171,53.80%
100033,202,3361,State-funded primary,204,107,97,52.45%,47.55%,4,1.96%,48,23.53%,59,145,0,28.90%,71.10%,0,65,67,204,32.84%
100034,202,3370,State-funded primary,226,110,116,48.67%,51.33%,32,14.16%,29,12.83%,95,131,0,42.00%,58.00%,0,97,90,203,44.33%
100035,202,3391,State-funded primary,301,153,148,50.83%,49.17%,4,1.33%,52,17.28%,159,142,0,52.80%,47.20%,0,123,110,270,40.74%
100036,202,3398,State-funded primary,92,49,43,53.26%,46.74%,7,7.61%,19,20.65%,40,52,0,43.50%,56.50%,0,53,51,84,60.71%
100040,202,3441,State-funded primary,197,103,94,52.28%,47.72%,5,2.54%,42,21.32%,94,103,0,47.70%,52.30%,0,82,81,187,43.32%
100041,202,3482,State-funded primary,148,69,79,46.62%,53.38%,4,2.70%,30,20.27%,61,87,0,41.20%,58.80%,0,78,75,135,55.56%
100042,202,3517,State-funded primary,229,115,114,50.22%,49.78%,6,2.62%,38,16.59%,145,84,0,63.30%,36.70%,0,149,129,203,63.55%
100043,202,3521,State-funded primary,190,112,78,58.95%,41.05%,11,5.79%,39,20.53%,57,133,0,30.00%,70.00%,0,134,126,173,72.83%
100045,202,3560,State-funded primary,121,65,56,53.72%,46.28%,10,8.26%,26,21.49%,58,63,0,47.90%,52.10%,0,78,73,112,65.18%
100046,202,3568,State-funded primary,187,86,101,45.99%,54.01%,2,1.07%,26,13.90%,59,128,0,31.60%,68.40%,0,76,76,187,40.64%
100047,202,3649,State-funded primary,204,111,93,54.41%,45.59%,5,2.45%,26,12.75%,109,95,0,53.40%,46.60%,0,93,93,203,45.81%
100048,202,3655,State-funded primary,219,124,95,56.62%,43.38%,11,5.02%,45,20.55%,75,144,0,34.20%,65.80%,0,152,145,196,73.98%
100049,202,4104,State-funded secondary,909,399,510,43.89%,56.11%,54,5.94%,126,13.86%,460,445,4,50.60%,49.00%,0.004,635,466,614,75.90%
100050,202,4166,State-funded secondary,1229,1151,78,93.65%,6.35%,30,2.44%,176,14.32%,382,837,10,31.10%,68.10%,0.008,425,329,896,36.72%
100051,202,4196,State-funded secondary,1086,467,619,43.00%,57.00%,57,5.25%,152,14.00%,525,561,0,48.30%,51.70%,0,724,659,932,70.71%
100052,202,4275,State-funded secondary,1228,603,625,49.10%,50.90%,34,2.77%,157,12.79%,435,793,0,35.40%,64.60%,0,567,541,983,55.04%
100053,202,4285,State-funded secondary,1218,440,778,36.12%,63.88%,86,7.06%,233,19.13%,260,890,68,21.30%,73.10%,0.056,421,389,909,42.79%
100054,202,4611,State-funded secondary,1076,913,163,84.85%,15.15%,13,1.21%,167,15.52%,210,857,9,19.50%,79.60%,0.008,219,183,599,30.55%
100055,202,4652,State-funded secondary,812,379,433,46.67%,53.33%,30,3.69%,117,14.41%,377,435,0,46.40%,53.60%,0,460,439,691,63.53%
100056,202,4688,State-funded secondary,817,106,711,12.97%,87.03%,24,2.94%,144,17.63%,280,535,2,34.30%,65.50%,0.002,395,291,514,56.61%
100059,202,5401,State-funded secondary,586,541,45,92.32%,7.68%,4,0.68%,44,7.51%,274,305,7,46.80%,52.00%,0.012,210,159,354,44.92%
100061,202,6013,Independent school,255,255,0,100.00%,0.00%,1,0.39%,45,17.65%,,,,,,,,NA,NA,0.00%
100062,202,6014,Independent school,163,163,0,100.00%,0.00%,0,0.00%,33,20.25%,,,,,,,,NA,NA,0.00%
100063,202,6016,Independent school,186,186,0,100.00%,0.00%,0,0.00%,41,22.04%,,,,,,,,NA,NA,0.00%
100064,202,6017,Independent school,474,0,474,0.00%,100.00%,1,0.21%,117,24.68%,,,,,,,,NA,NA,0.00%
100065,202,6018,Independent school,1305,109,1196,8.35%,91.65%,1,0.08%,224,17.16%,,,,,,,,NA,NA,0.00%
100066,202,6038,Independent school,187,187,0,100.00%,0.00%,0,0.00%,29,15.51%,,,,,,,,NA,NA,0.00%
100067,202,6084,Independent school,207,207,0,100.00%,0.00%,4,1.93%,23,11.11%,,,,,,,,NA,NA,0.00%
100068,202,6174,Independent school,198,86,112,43.43%,56.57%,3,1.52%,20,10.10%,,,,,,,,NA,NA,0.00%
100069,202,6179,Independent school,162,0,162,0.00%,100.00%,2,1.23%,32,19.75%,,,,,,,,NA,NA,0.00%
100070,202,6181,Independent school,266,6,260,2.26%,97.74%,1,0.38%,43,16.17%,,,,,,,,NA,NA,0.00%
100073,202,6264,Independent school,373,169,204,45.31%,54.69%,0,0.00%,20,5.36%,,,,,,,,NA,NA,0.00%
100074,202,6269,Independent school,437,128,309,29.29%,70.71%,8,1.83%,1,0.23%,,,,,,,,NA,NA,0.00%
100075,202,6295,Independent school,163,71,92,43.56%,56.44%,0,0.00%,42,25.77%,,,,,,,,NA,NA,0.00%
100076,202,6307,Independent school,954,954,0,100.00%,0.00%,1,0.10%,125,13.10%,,,,,,,,NA,NA,0.00%
100077,202,6353,Independent school,57,57,0,100.00%,0.00%,2,3.51%,29,50.88%,,,,,,,,NA,NA,0.00%
100078,202,6360,Independent school,105,35,70,33.33%,66.67%,6,5.71%,22,20.95%,,,,,,,,NA,NA,0.00%
100080,202,6380,Independent school,471,182,289,38.64%,61.36%,4,0.85%,44,9.34%,,,,,,,,NA,NA,0.00%
100081,202,6384,Independent school,102,47,55,46.08%,53.92%,0,0.00%,7,6.86%,,,,,,,,NA,NA,0.00%
100082,202,6385,Independent school,698,326,372,46.70%,53.30%,4,0.57%,123,17.62%,,,,,,,,NA,NA,0.00%
100084,202,6387,Independent school,209,135,74,64.59%,35.41%,7,3.35%,139,66.51%,,,,,,,,NA,NA,0.00%
100087,202,6392,Independent school,190,86,104,45.26%,54.74%,0,0.00%,1,0.53%,,,,,,,,NA,NA,0.00%
100090,202,6395,Independent school,165,76,89,46.06%,53.94%,0,0.00%,49,29.70%,,,,,,,,NA,NA,0.00%
100091,202,7008,State-funded special school,35,19,16,54.29%,45.71%,35,100.00%,0,0.00%,35,0,0,100.00%,0.00%,0,14,15,31,48.39%
100092,202,7137,State-funded special school,39,10,29,25.64%,74.36%,39,100.00%,0,0.00%,5,34,0,12.80%,87.20%,0,23,31,39,79.49%
100096,202,7205,State-funded special school,260,69,191,26.54%,73.46%,260,100.00%,0,0.00%,116,144,0,44.60%,55.40%,0,151,137,224,61.16%
100097,203,1001,State-funded nursery,140,74,66,52.86%,47.14%,0,0.00%,30,21.43%,23,117,0,16.40%,83.60%,0,14,NA,NA,0.00%
100098,203,1006,State-funded nursery,146,83,63,56.85%,43.15%,0,0.00%,43,29.45%,37,106,3,25.30%,72.60%,0.021,25,NA,NA,0.00%
100099,203,1016,State-funded nursery,120,51,69,42.50%,57.50%,0,0.00%,29,24.17%,66,53,1,55.00%,44.20%,0.008,28,NA,NA,0.00%
100102,203,1022,State-funded nursery,176,83,93,47.16%,52.84%,1,0.57%,47,26.70%,47,129,0,26.70%,73.30%,0,16,0,2,0.00%
100103,203,1101,State-funded AP school,191,77,114,40.31%,59.69%,68,35.60%,121,63.35%,5,186,0,2.60%,97.40%,0,78,111,165,67.27%
100114,203,2071,State-funded primary,394,187,207,47.46%,52.54%,9,2.28%,62,15.74%,239,133,22,60.70%,33.80%,0.056,139,142,362,39.23%
100115,203,2106,State-funded primary,180,75,105,41.67%,58.33%,18,10.00%,66,36.67%,88,90,2,48.90%,50.00%,0.011,70,73,180,40.56%
100120,203,2174,State-funded primary,437,225,212,51.49%,48.51%,9,2.06%,64,14.65%,138,295,4,31.60%,67.50%,0.009,178,178,391,45.52%
100125,203,2228,State-funded primary,210,105,105,50.00%,50.00%,13,6.19%,72,34.29%,75,135,0,35.70%,64.30%,0,77,82,210,39.05%
100126,203,2242,State-funded primary,132,64,68,48.48%,51.52%,10,7.58%,34,25.76%,69,63,0,52.30%,47.70%,0,50,54,123,43.90%
100127,203,2258,State-funded primary,430,226,204,52.56%,47.44%,19,4.42%,70,16.28%,109,320,1,25.30%,74.40%,0.002,53,55,403,13.65%
100129,203,2271,State-funded primary,374,174,200,46.52%,53.48%,11,2.94%,72,19.25%,118,256,0,31.60%,68.40%,0,138,140,348,40.23%
100131,203,2299,State-funded primary,352,170,182,48.30%,51.70%,15,4.26%,69,19.60%,109,243,0,31.00%,69.00%,0,135,140,352,39.77%
100134,203,2325,State-funded primary,762,386,376,50.66%,49.34%,25,3.28%,154,20.21%,222,539,1,29.10%,70.70%,0.001,211,200,729,27.43%
100137,203,2410,State-funded primary,222,125,97,56.31%,43.69%,7,3.15%,41,18.47%,89,128,5,40.10%,57.70%,0.023,29,30,209,14.35%
100140,203,2471,State-funded primary,1019,501,518,49.17%,50.83%,24,2.36%,252,24.73%,229,783,7,22.50%,76.80%,0.007,287,294,954,30.82%
100141,203,2552,State-funded primary,435,225,210,51.72%,48.28%,11,2.53%,54,12.41%,115,314,6,26.40%,72.20%,0.014,67,77,405,19.01%
100142,203,2598,State-funded primary,191,95,96,49.74%,50.26%,10,5.24%,32,16.75%,62,129,0,32.50%,67.50%,0,65,71,191,37.17%
100146,203,2662,State-funded primary,431,219,212,50.81%,49.19%,21,4.87%,75,17.40%,76,355,0,17.60%,82.40%,0,79,88,401,21.95%
100149,203,2798,State-funded primary,400,206,194,51.50%,48.50%,17,4.25%,55,13.75%,83,317,0,20.80%,79.30%,0,87,90,366,24.59%
100152,203,2813,State-funded primary,288,156,132,54.17%,45.83%,13,4.51%,80,27.78%,96,192,0,33.30%,66.70%,0,157,143,262,54.58%
100155,203,2877,State-funded primary,437,221,216,50.57%,49.43%,13,2.97%,76,17.39%,263,174,0,60.20%,39.80%,0,167,167,391,42.71%
100158,203,2900,State-funded primary,748,350,398,46.79%,53.21%,23,3.07%,112,14.97%,488,231,29,65.20%,30.90%,0.039,201,219,706,31.02%
100159,203,2901,State-funded primary,315,132,183,41.90%,58.10%,7,2.22%,64,20.32%,139,176,0,44.10%,55.90%,0,137,138,294,46.94%
100162,203,2915,State-funded primary,201,109,92,54.23%,45.77%,9,4.48%,39,19.40%,70,130,1,34.80%,64.70%,0.005,33,38,201,18.91%
100163,203,2916,State-funded primary,351,177,174,50.43%,49.57%,19,5.41%,47,13.39%,156,195,0,44.40%,55.60%,0,96,102,323,31.58%
100164,203,2917,State-funded primary,428,225,203,52.57%,47.43%,23,5.37%,88,20.56%,109,319,0,25.50%,74.50%,0,87,111,391,28.39%
100165,203,3322,State-funded primary,154,75,79,48.70%,51.30%,4,2.60%,36,23.38%,51,103,0,33.10%,66.90%,0,78,79,154,51.30%
100166,203,3331,State-funded primary,208,93,115,44.71%,55.29%,11,5.29%,40,19.23%,41,165,2,19.70%,79.30%,0.01,27,32,208,15.38%
100167,203,3338,State-funded primary,446,219,227,49.10%,50.90%,14,3.14%,86,19.28%,89,357,0,20.00%,80.00%,0,58,60,416,14.42%
100168,203,3382,State-funded primary,417,196,221,47.00%,53.00%,11,2.64%,15,3.60%,82,335,0,19.70%,80.30%,0,89,93,416,22.36%
100169,203,3481,State-funded primary,136,70,66,51.47%,48.53%,6,4.41%,32,23.53%,38,98,0,27.90%,72.10%,0,67,70,136,51.47%
100170,203,3500,State-funded primary,215,106,109,49.30%,50.70%,10,4.65%,57,26.51%,62,153,0,28.80%,71.20%,0,76,76,211,36.02%
100171,203,3526,State-funded secondary,1667,795,872,47.69%,52.31%,39,2.34%,277,16.62%,789,877,1,47.30%,52.60%,0.001,721,719,1498,48.00%
100173,203,3561,State-funded primary,336,145,191,43.15%,56.85%,15,4.46%,58,17.26%,147,189,0,43.80%,56.30%,0,89,86,303,28.38%
100174,203,3577,State-funded primary,203,122,81,60.10%,39.90%,8,3.94%,36,17.73%,55,148,0,27.10%,72.90%,0,83,90,189,47.62%
100175,203,3585,State-funded primary,205,92,113,44.88%,55.12%,6,2.93%,31,15.12%,29,174,2,14.10%,84.90%,0.01,39,40,205,19.51%
100176,203,3604,State-funded primary,198,97,101,48.99%,51.01%,3,1.52%,20,10.10%,36,162,0,18.20%,81.80%,0,63,68,198,34.34%
100177,203,3632,State-funded primary,402,224,178,55.72%,44.28%,3,0.75%,69,17.16%,79,323,0,19.70%,80.30%,0,115,119,365,32.60%
100179,203,3662,State-funded primary,183,82,101,44.81%,55.19%,7,3.83%,31,16.94%,20,163,0,10.90%,89.10%,0,65,70,183,38.25%
100180,203,3666,State-funded primary,183,92,91,50.27%,49.73%,8,4.37%,45,24.59%,102,81,0,55.70%,44.30%,0,45,51,181,28.18%
100181,203,3668,State-funded primary,227,107,120,47.14%,52.86%,3,1.32%,48,21.15%,134,92,1,59.00%,40.50%,0.004,43,48,192,25.00%
100182,203,4077,State-funded secondary,1304,1266,38,97.09%,2.91%,16,1.23%,279,21.40%,257,1033,14,19.70%,79.20%,0.011,287,274,1061,25.82%
100183,203,4130,State-funded secondary,1454,739,715,50.83%,49.17%,60,4.13%,221,15.20%,821,633,0,56.50%,43.50%,0,520,555,1211,45.83%
100190,203,4294,State-funded secondary,2066,923,1143,44.68%,55.32%,139,6.73%,477,23.09%,326,1691,49,15.80%,81.80%,0.024,454,472,1346,35.07%
100193,203,4682,State-funded secondary,549,549,0,100.00%,0.00%,11,2.00%,68,12.39%,85,456,8,15.50%,83.10%,0.015,135,166,549,30.24%
100198,203,6065,Independent school,347,127,220,36.60%,63.40%,1,0.29%,48,13.83%,,,,,,,,NA,NA,0.00%
100199,203,6114,Independent school,388,197,191,50.77%,49.23%,0,0.00%,39,10.05%,,,,,,,,NA,NA,0.00%
100200,203,6169,Independent school,205,78,127,38.05%,61.95%,157,76.59%,3,1.46%,,,,,,,,NA,NA,0.00%
100201,203,6170,Independent school,215,106,109,49.30%,50.70%,2,0.93%,7,3.26%,,,,,,,,NA,NA,0.00%
100202,203,6293,Independent school,1308,569,739,43.50%,56.50%,11,0.84%,362,27.68%,,,,,,,,NA,NA,0.00%
100203,209,6294,Independent school,120,49,71,40.83%,59.17%,0,0.00%,3,2.50%,,,,,,,,NA,NA,0.00%
100204,203,7118,State-funded special school,37,0,37,0.00%,100.00%,37,100.00%,0,0.00%,0,37,0,0.00%,100.00%,0,18,30,37,81.08%
100212,204,1008,State-funded nursery,77,28,49,36.36%,63.64%,0,0.00%,2,2.60%,35,42,0,45.50%,54.50%,0,28,NA,NA,0.00%
100213,204,1051,State-funded nursery,115,53,62,46.09%,53.91%,4,3.48%,30,26.09%,71,44,0,61.70%,38.30%,0,57,NA,NA,0.00%
100218,204,2048,State-funded primary,425,208,217,48.94%,51.06%,30,7.06%,43,10.12%,157,268,0,36.90%,63.10%,0,220,212,380,55.79%
100223,204,2150,State-funded primary,367,179,188,48.77%,51.23%,24,6.54%,77,20.98%,162,205,0,44.10%,55.90%,0,177,159,330,48.18%
100225,204,2238,State-funded primary,310,134,176,43.23%,56.77%,40,12.90%,65,20.97%,111,199,0,35.80%,64.20%,0,133,122,187,65.24%
100229,204,2376,State-funded primary,425,166,259,39.06%,60.94%,12,2.82%,35,8.24%,70,355,0,16.50%,83.50%,0,104,99,392,25.26%
100230,204,2388,State-funded primary,424,209,215,49.29%,50.71%,23,5.42%,95,22.41%,175,249,0,41.30%,58.70%,0,123,116,397,29.22%
100231,204,2421,State-funded primary,635,308,327,48.50%,51.50%,45,7.09%,84,13.23%,219,416,0,34.50%,65.50%,0,153,152,589,25.81%
100232,204,2431,State-funded primary,437,219,218,50.11%,49.89%,29,6.64%,105,24.03%,227,210,0,51.90%,48.10%,0,237,218,353,61.76%
100234,204,2450,State-funded primary,531,263,268,49.53%,50.47%,32,6.03%,92,17.33%,232,299,0,43.70%,56.30%,0,299,294,502,58.57%
100235,204,2487,State-funded primary,424,219,205,51.65%,48.35%,39,9.20%,63,14.86%,177,245,2,41.70%,57.80%,0.005,161,158,403,39.21%
100239,204,2532,State-funded primary,210,113,97,53.81%,46.19%,13,6.19%,16,7.62%,133,77,0,63.30%,36.70%,0,94,95,195,48.72%
100240,204,2539,State-funded primary,441,220,221,49.89%,50.11%,26,5.90%,72,16.33%,181,260,0,41.00%,59.00%,0,197,191,397,48.11%
100241,204,2545,State-funded primary,472,244,228,51.69%,48.31%,18,3.81%,56,11.86%,167,305,0,35.40%,64.60%,0,157,146,413,35.35%
100242,204,2564,State-funded primary,360,181,179,50.28%,49.72%,15,4.17%,71,19.72%,182,178,0,50.60%,49.40%,0,172,164,338,48.52%
100243,204,2592,State-funded primary,220,112,108,50.91%,49.09%,21,9.55%,55,25.00%,114,106,0,51.80%,48.20%,0,154,143,190,75.26%
100244,204,2615,State-funded primary,162,85,77,52.47%,47.53%,25,15.43%,38,23.46%,70,92,0,43.20%,56.80%,0,98,102,160,63.75%
100245,204,2636,State-funded primary,438,217,221,49.54%,50.46%,58,13.24%,70,15.98%,121,317,0,27.60%,72.40%,0,258,249,408,61.03%
100248,204,2654,State-funded primary,691,324,367,46.89%,53.11%,41,5.93%,79,11.43%,432,258,1,62.50%,37.30%,0.001,392,349,602,57.97%
100250,204,2779,State-funded primary,226,120,106,53.10%,46.90%,17,7.52%,40,17.70%,152,74,0,67.30%,32.70%,0,109,108,192,56.25%
100251,204,2795,State-funded primary,174,79,95,45.40%,54.60%,18,10.34%,54,31.03%,77,97,0,44.30%,55.70%,0,92,88,165,53.33%
100252,204,2856,State-funded primary,211,92,119,43.60%,56.40%,14,6.64%,23,10.90%,56,155,0,26.50%,73.50%,0,34,35,187,18.72%
100253,204,2859,State-funded primary,445,228,217,51.24%,48.76%,29,6.52%,44,9.89%,171,274,0,38.40%,61.60%,0,140,133,415,32.05%
100254,204,2860,State-funded primary,366,180,186,49.18%,50.82%,41,11.20%,61,16.67%,144,222,0,39.30%,60.70%,0,185,188,330,56.97%
100256,204,2862,State-funded primary,186,91,95,48.92%,51.08%,10,5.38%,30,16.13%,77,109,0,41.40%,58.60%,0,95,92,167,55.09%
100257,204,2863,State-funded primary,224,113,111,50.45%,49.55%,14,6.25%,32,14.29%,166,56,2,74.10%,25.00%,0.009,91,85,207,41.06%
100258,204,2864,State-funded primary,471,243,228,51.59%,48.41%,12,2.55%,70,14.86%,172,299,0,36.50%,63.50%,0,128,118,414,28.50%
100259,204,2865,State-funded primary,197,93,104,47.21%,52.79%,11,5.58%,32,16.24%,115,82,0,58.40%,41.60%,0,88,80,166,48.19%
100260,204,2872,State-funded primary,261,124,137,47.51%,52.49%,10,3.83%,82,31.42%,145,116,0,55.60%,44.40%,0,154,138,225,61.33%
100261,204,2896,State-funded primary,275,134,141,48.73%,51.27%,15,5.45%,53,19.27%,132,143,0,48.00%,52.00%,0,160,142,228,62.28%
100263,204,3358,State-funded primary,249,121,128,48.59%,51.41%,20,8.03%,69,27.71%,67,182,0,26.90%,73.10%,0,111,109,197,55.33%
100264,204,3371,State-funded primary,201,87,114,43.28%,56.72%,8,3.98%,19,9.45%,37,164,0,18.40%,81.60%,0,49,50,201,24.88%
100266,204,3458,State-funded primary,256,139,117,54.30%,45.70%,17,6.64%,60,23.44%,126,130,0,49.20%,50.80%,0,141,137,226,60.62%
100267,204,3543,State-funded primary,160,76,84,47.50%,52.50%,14,8.75%,43,26.88%,74,86,0,46.30%,53.80%,0,105,102,151,67.55%
100269,204,3572,State-funded primary,188,96,92,51.06%,48.94%,11,5.85%,42,22.34%,31,157,0,16.50%,83.50%,0,116,112,170,65.88%
100270,204,3616,State-funded primary,152,79,73,51.97%,48.03%,9,5.92%,36,23.68%,46,106,0,30.30%,69.70%,0,80,80,132,60.61%
100271,204,3618,State-funded primary,51,27,24,52.94%,47.06%,4,7.84%,11,21.57%,17,34,0,33.30%,66.70%,0,32,32,51,62.75%
100274,204,3659,State-funded primary,185,90,95,48.65%,51.35%,10,5.41%,44,23.78%,109,76,0,58.90%,41.10%,0,120,114,162,70.37%
100275,204,3663,State-funded primary,124,68,56,54.84%,45.16%,17,13.71%,33,26.61%,63,61,0,50.80%,49.20%,0,36,35,115,30.43%
100279,204,4310,State-funded secondary,1647,742,905,45.05%,54.95%,72,4.37%,333,20.22%,352,1294,1,21.40%,78.60%,0.001,571,523,1272,41.12%
100282,204,4641,State-funded secondary,499,444,55,88.98%,11.02%,7,1.40%,58,11.62%,263,229,7,52.70%,45.90%,0.014,244,210,402,52.24%
100284,204,4697,State-funded secondary,803,333,470,41.47%,58.53%,38,4.73%,176,21.92%,251,552,0,31.30%,68.70%,0,558,498,706,70.54%
100287,204,6072,Independent school,203,0,203,0.00%,100.00%,6,2.96%,29,14.29%,,,,,,,,NA,NA,0.00%
100289,204,6233,Independent school,483,0,483,0.00%,100.00%,17,3.52%,48,9.94%,,,,,,,,NA,NA,0.00%
100291,204,6242,Independent school,615,615,0,100.00%,0.00%,19,3.09%,56,9.11%,,,,,,,,NA,NA,0.00%
100293,204,6296,Independent school,1326,1326,0,100.00%,0.00%,39,2.94%,162,12.22%,,,,,,,,NA,NA,0.00%
100294,204,6331,Independent school,533,0,533,0.00%,100.00%,12,2.25%,78,14.63%,,,,,,,,NA,NA,0.00%
100295,204,6337,Independent school,599,578,21,96.49%,3.51%,29,4.84%,93,15.53%,,,,,,,,NA,NA,0.00%
100296,204,6377,Independent school,241,0,241,0.00%,100.00%,21,8.71%,96,39.83%,,,,,,,,NA,NA,0.00%
100298,204,6385,Independent school,221,0,221,0.00%,100.00%,12,5.43%,45,20.36%,,,,,,,,NA,NA,0.00%
100299,204,6387,Independent school,150,0,150,0.00%,100.00%,9,6.00%,16,10.67%,,,,,,,,NA,NA,0.00%
100300,204,6388,Independent school,173,173,0,100.00%,0.00%,0,0.00%,0,0.00%,,,,,,,,NA,NA,0.00%
100307,204,7097,State-funded special school,139,34,105,24.46%,75.54%,139,100.00%,0,0.00%,9,129,1,6.50%,92.80%,0.007,84,71,115,61.74%
100311,204,7161,State-funded special school,199,40,159,20.10%,79.90%,199,100.00%,0,0.00%,74,125,0,37.20%,62.80%,0,112,106,175,60.57%
100312,204,7171,State-funded special school,166,55,111,33.13%,66.87%,166,100.00%,0,0.00%,86,80,0,51.80%,48.20%,0,111,97,145,66.90%
100315,205,1034,State-funded nursery,130,65,65,50.00%,50.00%,4,3.08%,30,23.08%,57,73,0,43.80%,56.20%,0,32,1,2,50.00%
100316,205,1039,State-funded nursery,79,52,27,65.82%,34.18%,0,0.00%,17,21.52%,29,50,0,36.70%,63.30%,0,17,1,1,100.00%
100317,205,1056,State-funded nursery,33,12,21,36.36%,63.64%,1,3.03%,5,15.15%,26,7,0,78.80%,21.20%,0,3,NA,NA,0.00%
100318,205,1059,State-funded nursery,64,30,34,46.88%,53.13%,0,0.00%,14,21.88%,18,46,0,28.10%,71.90%,0,18,NA,NA,0.00%
100321,205,2002,State-funded primary,200,101,99,50.50%,49.50%,1,0.50%,10,5.00%,112,88,0,56.00%,44.00%,0,61,70,185,37.84%
100322,205,2026,State-funded primary,184,77,107,41.85%,58.15%,9,4.89%,36,19.57%,118,66,0,64.10%,35.90%,0,60,61,164,37.20%
100324,205,2061,State-funded primary,318,143,175,44.97%,55.03%,16,5.03%,36,11.32%,159,158,1,50.00%,49.70%,0.003,119,121,294,41.16%
100326,205,2134,State-funded primary,225,117,108,52.00%,48.00%,36,16.00%,26,11.56%,98,126,1,43.60%,56.00%,0.004,88,94,213,44.13%
